Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1868.0,4.0,23.0,,,,1.0,0.0,,0.0,UK,SW ENGLAND,,,,0.0,,,,,,,,,,
1830.0,9.0,16.0,,,,0.0,1.0,,0.0,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,1.0,,1.0,,,,,,,,
1937.0,9.0,22.0,,,,1.0,0.0,5.8,0.0,RUSSIA,KAMCHATKA,58.0,165.0,,0.0,,,,,,,,,,
2014.0,7.0,11.0,19.0,23.0,22.0,4.0,1.0,6.5,0.0,JAPAN,SANRIKU,37.005,142.453,0.2,6.0,,,,,,,,,,
1996.0,6.0,10.0,15.0,24.0,56.0,4.0,1.0,7.3,0.0,USA,"ANDREANOF ISLANDS, AK",51.478,-176.847,0.18,1.0,-3.3,-1.5,,,,,,,,
1911.0,5.0,11.0,,,,2.0,0.0,6.6,0.0,TOGO,GOLD COAST,6.1,1.2,5.0,1.0,,,,,,,,1.0,,
1821.0,1.0,6.0,,,,4.0,1.0,6.5,1.0,GREECE,IONIAN SEA,37.8,21.3,,1.0,,,,,,,,,,
1997.0,9.0,30.0,6.0,27.0,24.7,4.0,1.0,6.2,0.0,JAPAN,S. OF HONSHU ISLAND,31.959,141.878,0.03,1.0,,,,,,,,,,
1962.0,5.0,19.0,14.0,58.0,15.0,3.0,1.0,7.2,0.0,MEXICO,S. MEXICO,17.2,-99.5,0.34,1.0,,,3.0,,,16.0,,2.0,,
1812.0,,,,,,1.0,0.0,,0.0,USA,"SAN FRANCISCO, N. CALIFORNIA",,,,1.0,,,,,,,,,,
2004.0,11.0,2.0,10.0,2.0,12.8,4.0,1.0,6.6,0.0,CANADA,VANCOUVER ISLAND,49.277,-128.772,0.06,2.0,,,,,,,,,,
1854.0,2.0,29.0,,,,1.0,0.0,,0.0,FRANCE,LIGURIAN SEA,,,,0.0,,,,,,,,,,
1861.0,6.0,17.0,,,,3.0,1.0,6.8,0.0,INDONESIA,SW. SUMATRA,1.0,97.5,,1.0,,0.5,,,,,,,,
