Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1917.0,1.0,31.0,3.0,39.0,55.0,3.0,1.0,6.4,0.0,PHILIPPINES,CELEBES SEA,6.0,125.0,1.5,1.0,0.6,,7.0,,,2.0,,2.0,,
1845.0,2.0,8.0,7.0,30.0,,3.0,1.0,7.0,1.0,INDONESIA,CELEBES SEA,1.5,124.85,,1.0,0.0,0.0,118.0,,,,,2.0,,
1935.0,9.0,20.0,1.0,46.0,43.5,3.0,1.0,7.8,0.0,PAPUA NEW GUINEA,BISMARCK SEA,-3.824,141.416,,1.0,,,,,,,,,,
1997.0,3.0,12.0,,,,3.0,0.0,,0.0,NEW CALEDONIA,NEW CALEDONIA,-21.7,168.0,2.0,1.0,,,,,,,,,,
1974.0,10.0,17.0,,,,4.0,6.0,,1.0,PAPUA NEW GUINEA,"RITTER ISLAND, PAPUA NEW GUINEA",-5.52,148.121,0.5,2.0,-1.0,,,,,,,,,
2010.0,1.0,12.0,21.0,53.0,10.0,4.0,3.0,7.0,0.0,HAITI,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,3.21,25.0,,,316000.0,,,300000.0,8000.0,4.0,97294.0,188383.0
2015.0,3.0,29.0,23.0,48.0,1.0,4.0,1.0,7.5,0.0,PAPUA NEW GUINEA,BISMARCK SEA,-4.729,152.562,0.5,2.0,,,,,,,,,,
1869.0,8.0,16.0,7.0,0.0,,2.0,1.0,7.0,0.0,PHILIPPINES,SULU SEA,12.5,123.5,,1.0,,0.0,,,,,,3.0,,
1961.0,6.0,16.0,10.0,31.0,57.3,0.0,2.0,6.5,0.0,COLOMBIA,NORTHEASTERN,8.9,-73.4,,1.0,,,,,,,,,,
1889.0,9.0,8.0,,,,-1.0,,,0.0,INDONESIA,MOLUCCAS ISLANDS,,,,0.0,,,,,,,,,,
2009.0,8.0,16.0,7.0,38.0,21.7,4.0,1.0,6.7,0.0,INDONESIA,SUMATRA,-1.479,99.49,0.18,1.0,,,,,,9.0,,,,
1839.0,,,,,,3.0,0.0,,0.0,NEW ZEALAND,"WAIKAWA, SOUTHLAND",-46.627,169.126,,1.0,,,,,,,,,,
1894.0,4.0,27.0,19.0,21.0,,4.0,3.0,7.0,1.0,GREECE,NORTH EVOIKOS GULF,38.7,23.1,3.0,2.0,1.6,4.0,,,,,,,,
1903.0,10.0,6.0,6.0,30.0,,-1.0,9.0,,0.0,USA,HAWAII,,,,1.0,,,,,,,,,,
1856.0,8.0,22.0,11.0,40.0,,3.0,1.0,,0.0,ALGERIA,SEA OF ALBORAN,37.1,5.7,5.0,4.0,,4.0,8.0,,,,,2.0,,
1996.0,1.0,1.0,8.0,5.0,10.8,4.0,1.0,7.9,0.0,INDONESIA,SULAWESI,0.729,119.931,3.43,16.0,2.3,1.8,9.0,,,63.0,1.2,2.0,400.0,
1965.0,3.0,22.0,22.0,56.0,28.0,1.0,1.0,6.0,0.0,CHILE,CENTRAL CHILE,-31.81,-71.26,,0.0,,,,,,,,,,
1916.0,4.0,26.0,2.0,21.0,52.0,4.0,1.0,7.0,0.0,PANAMA,BOCAS DEL TORO,9.6,-82.0,1.3,6.0,,,,,,,0.025,1.0,,
1847.0,4.0,15.0,,,,3.0,1.0,,0.0,ITALY,LIVORNO,,,,0.0,,,,,,,,,,
1871.0,2.0,7.0,,,,2.0,1.0,,0.0,MEXICO,S. MEXICO,18.2,-94.5,0.3,1.0,,,,,,,,,,
1855.0,2.0,11.0,12.0,0.0,,2.0,3.0,5.5,0.0,NEW ZEALAND,,-39.2,177.6,,1.0,,,,,,,,,,
1950.0,1.0,30.0,0.0,56.0,32.0,1.0,1.0,7.0,0.0,CHILE,SOUTHERN CHILE,-53.5,-71.5,,0.0,,,,,,,,,,
1970.0,5.0,14.0,18.0,12.0,,3.0,1.0,6.5,0.0,RUSSIA,CASPIAN SEA,43.0,47.1,,0.0,,,,,,,,2.0,,
1852.0,11.0,23.0,,,,-1.0,1.0,,0.0,INDONESIA,BANDA SEA,,,,0.0,,,,,,,,,,
1861.0,10.0,20.0,17.0,30.0,,4.0,1.0,7.4,0.0,JAPAN,OFF MIYAGI,38.5,142.0,3.9,4.0,2.0,2.0,,,,,,2.0,70.0,
1951.0,8.0,3.0,0.0,23.0,58.0,1.0,3.0,6.0,0.0,NICARAGUA,COSIGUINA VOLCANO,13.0,-87.5,,1.0,,,,,,,,3.0,,
1928.0,6.0,15.0,6.0,12.0,36.0,3.0,1.0,7.0,0.0,PHILIPPINES,SULU SEA,12.4,120.9,,1.0,,0.5,,,,,,2.0,,
1901.0,3.0,31.0,7.0,12.0,,3.0,1.0,7.2,0.0,BULGARIA,BLACK SEA,43.4,28.5,3.0,1.0,,4.0,4.0,,,50.0,,3.0,1200.0,
2010.0,6.0,12.0,19.0,26.0,50.4,4.0,1.0,7.5,0.0,INDIA,LITTLE NICOBAR ISLAND,7.881,91.936,0.03,2.0,,,,,,,,,,
1978.0,6.0,12.0,8.0,14.0,26.4,4.0,1.0,7.7,0.0,JAPAN,SANRIKU,38.19,142.03,0.6,31.0,,0.5,28.0,,,1000.0,865.0,4.0,,
1965.0,2.0,19.0,,,,0.0,7.0,,0.0,CHILE,SOUTHERN CHILE,-41.755,-72.396,60.0,1.0,,,27.0,,,,,3.0,,
1996.0,9.0,4.0,18.0,16.0,1.9,4.0,1.0,5.7,0.0,JAPAN,HONSHU ISLAND,31.555,139.931,0.3,14.0,-2.3,-2.0,,,,,,,,
1912.0,1.0,24.0,16.0,22.0,51.0,2.0,1.0,6.8,0.0,GREECE,IONIAN SEA,38.12,20.67,,0.0,,,,,,,,,,
1997.0,12.0,14.0,3.0,30.0,,3.0,8.0,,0.0,RUSSIA,KAMCHATKA,54.841,162.035,8.0,1.0,3.0,2.0,,,,,,1.0,,
1988.0,8.0,6.0,0.0,36.0,24.6,0.0,1.0,7.2,0.0,BANGLADESH,"JAMUNA RIVER, ARICHA, BANGLADESH",25.149,95.127,,0.0,,,5.0,30.0,1.0,42.0,,2.0,,
2015.0,10.0,18.0,5.0,19.0,,4.0,8.0,,1.0,USA,"ICY BAY, AK",60.08,-141.3,193.0,3.0,,,,,,,,,,
1970.0,6.0,19.0,10.0,56.0,13.5,2.0,1.0,6.4,0.0,CHILE,NORTHERN CHILE,-22.28,-70.55,,0.0,,,,,,,,,,
2021.0,8.0,12.0,18.0,35.0,20.0,4.0,1.0,8.1,0.0,UK TERRITORY,SOUTHERN ATLANTIC OCEAN,-58.416,-25.321,0.64,44.0,,,,,,,,,,
1964.0,3.0,20.0,16.0,,,2.0,0.0,,0.0,USA,"GULF OF ALASKA, AK",,,0.08,1.0,,,,,,,,,,
1914.0,2.0,26.0,4.0,58.0,12.0,1.0,1.0,7.2,0.0,PERU,S. PERU,-17.0,-72.0,,1.0,,,,,,,,,,
1968.0,8.0,14.0,22.0,14.0,19.4,4.0,1.0,7.8,0.0,INDONESIA,BANDA SEA,0.2,119.8,10.0,7.0,3.3,2.5,200.0,,,58.0,,3.0,800.0,
2020.0,6.0,23.0,15.0,29.0,5.0,4.0,1.0,7.4,0.0,MEXICO,OFF OF COAST OF OAXACA,16.029,-95.901,1.57,9.0,,,10.0,,,24.0,,4.0,,8123.0
1958.0,11.0,4.0,22.0,54.0,46.0,1.0,1.0,6.1,0.0,PACIFIC OCEAN,EAST PACIFIC RISE,-50.0,-115.0,0.1,1.0,,,,,,,,,,
1874.0,3.0,11.0,,,,2.0,1.0,,0.0,USA TERRITORY,VIRGIN ISLANDS,18.1,-65.1,,2.0,,,,,,,,,,
1951.0,12.0,21.0,8.0,37.0,29.0,0.0,1.0,6.3,0.0,CHINA,CHINA: GANSU AND SHANXI PROVINCES,26.7,100.0,2.0,1.0,,,,,,,,,,
1926.0,12.0,9.0,,,,2.0,1.0,6.0,0.0,CHILE,NORTHERN CHILE,-28.0,-71.0,,3.0,0.6,0.5,,,,,,,,
1979.0,9.0,12.0,5.0,17.0,51.4,4.0,1.0,7.9,0.0,INDONESIA,IRIAN JAYA,-1.679,136.04,2.0,2.0,1.0,,115.0,,,,,3.0,1000.0,
1979.0,10.0,16.0,13.0,57.0,,4.0,8.0,,2.0,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,10.0,6.0,1.6,,9.0,,,,,1.0,,
1895.0,5.0,25.0,,,,1.0,1.0,,0.0,JAPAN,W. KYUSHU ISLAND,33.0,130.0,,1.0,,0.5,,,,,,,,
1870.0,8.0,12.0,,,,1.0,0.0,,0.0,AUSTRALIA,SYDNEY HARBOR,-33.8,151.3,,0.0,,-1.0,,,,,,,,
1878.0,2.0,4.0,,,,3.0,1.0,,1.0,PAPUA NEW GUINEA,BISMARCK SEA,-4.25,152.25,,1.0,2.0,1.0,1.0,,,,,,,
2012.0,12.0,28.0,,,,0.0,8.0,,0.0,CHINA,"ZHAOJUN BRIDGE, HUBEI PROVINCE",31.256,110.733,,0.0,,,,,,,,,,
1835.0,7.0,12.0,,,,2.0,0.0,,0.0,GREECE,IONIAN ISLANDS,,,,1.0,,2.0,,,,,,,,
1935.0,5.0,30.0,21.0,32.0,46.0,0.0,1.0,7.5,0.0,PAKISTAN,QUETTA,29.5,66.8,,0.0,,,60000.0,,,,25.0,4.0,,
1974.0,9.0,27.0,5.0,47.0,29.4,4.0,1.0,6.7,0.0,RUSSIA,S. KURIL ISLANDS,43.2,146.7,0.37,3.0,0.6,-1.0,,,,,,,,
2012.0,10.0,28.0,3.0,4.0,8.8,4.0,1.0,7.7,0.0,CANADA,BRITISH COLUMBIA,52.788,-132.101,12.98,178.0,,,1.0,,,,,,,
1958.0,10.0,7.0,10.0,0.0,,1.0,6.0,,0.0,VANUATU,KUWAE VOLCANO,-16.829,168.536,,1.0,,0.0,,,,,,,,
2014.0,3.0,16.0,21.0,16.0,0.0,4.0,1.0,6.7,0.0,CHILE,NORTHERN CHILE,-19.965,-70.814,0.26,7.0,,,,,,,,1.0,,
1805.0,5.0,8.0,,,,3.0,0.0,,0.0,AUSTRALIA,NORFOLK ISLAND,-29.06,167.95,5.0,1.0,,,,,,,,1.0,1.0,
1995.0,4.0,21.0,0.0,34.0,46.0,4.0,1.0,7.2,0.0,PHILIPPINES,SAMAR ISLAND,12.059,125.58,0.2,1.0,-3.3,-2.0,,,,,,,,
2006.0,1.0,1.0,7.0,11.0,57.0,3.0,1.0,5.6,0.0,JAPAN,S. OF HONSHU ISLAND,31.394,140.131,,0.0,,,,,,,,,,
1922.0,11.0,7.0,23.0,0.0,9.0,2.0,1.0,7.0,0.0,CHILE,NORTHERN CHILE,-28.0,-72.0,,0.0,,,,,,,,,,
1948.0,5.0,23.0,9.0,13.0,18.0,2.0,1.0,6.0,0.0,CHINA,SHANDONG PROVINCE,37.2,121.8,3.0,1.0,,,,,,,,1.0,,
1886.0,9.0,1.0,2.0,51.0,0.0,4.0,1.0,7.3,0.0,USA,"CHARLESTON, SC",32.9,-80.0,,3.0,,,,,,,,,,
1930.0,3.0,4.0,18.0,3.0,,4.0,8.0,,0.0,PORTUGAL,MADEIRA ISLAND,32.617,-16.967,5.0,1.0,,,20.0,,,,,,,
1833.0,12.0,7.0,,,,4.0,1.0,7.4,1.0,JAPAN,NW. HONSHU ISLAND,38.9,139.15,9.0,27.0,2.5,2.5,85.0,,,,,3.0,1140.0,1790.0
1895.0,8.0,18.0,6.0,57.0,,4.0,3.0,6.0,0.0,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.8,176.0,,1.0,,,,,,,,,,
1870.0,11.0,2.0,3.0,30.0,,2.0,1.0,,0.0,ITALY,CALABRIAN ARC,,,,0.0,,,,,,,,,,
1921.0,5.0,14.0,11.0,17.0,45.0,2.0,1.0,6.2,0.0,INDONESIA,MAKASSAR STRAIT,0.7,117.9,1.0,1.0,,0.5,,,,,,2.0,,
1930.0,6.0,19.0,13.0,7.0,27.0,3.0,1.0,6.0,0.0,INDONESIA,SOUTH OF JAVA,-5.6,105.3,1.5,1.0,-0.5,,,,,,,,,
2016.0,9.0,1.0,16.0,37.0,3.0,4.0,1.0,7.0,0.0,NEW ZEALAND,GISBORNE,-37.359,179.146,0.21,4.0,,,,,,,,,,
1852.0,7.0,17.0,,,,2.0,2.0,,0.0,CUBA,SANTIAGO DE CUBA,20.0,-75.8,,1.0,,,,,,,,2.0,,
1977.0,4.0,21.0,4.0,24.0,9.6,4.0,1.0,8.1,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.965,160.731,0.04,5.0,-3.3,-1.5,18.0,,,1.0,,3.0,,
1933.0,1.0,8.0,16.0,,,4.0,6.0,6.0,1.0,RUSSIA,"KHARIMKOTAN, N. KURIL ISLANDS",49.12,154.508,9.0,2.0,3.2,2.0,2.0,,,,,,,
1846.0,5.0,7.0,,,,4.0,0.0,,0.0,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.96,175.73,,0.0,,,,,,,,,,
2017.0,11.0,19.0,9.0,26.0,13.0,4.0,1.0,6.3,0.0,NEW CALEDONIA,LOYALTY ISLANDS,-21.638,168.673,0.05,1.0,,,,,,,,,,
1999.0,9.0,13.0,,,,4.0,8.0,,1.0,FRENCH POLYNESIA,FATU HIVA,-10.52,-138.67,8.0,9.0,,,,,,,,1.0,,
1974.0,8.0,18.0,10.0,44.0,12.8,1.0,1.0,7.1,0.0,CHILE,SOUTHERN CHILE,-38.5,-73.4,,0.0,,,,,,,,,,
1948.0,12.0,26.0,7.0,12.0,21.0,3.0,1.0,7.0,0.0,CHILE,NORTHERN CHILE,-22.5,-69.0,,1.0,-0.5,0.0,,,,,,,,
1835.0,8.0,19.0,,,,-1.0,1.0,,0.0,JAPAN,"MIYAGI, JAPAN",,,,2.0,2.0,2.0,,,,,,,,
1870.0,8.0,6.0,,,,3.0,1.0,,0.0,CROATIA,ADRIATIC SEA,,,,0.0,,,,,,,,,,
1851.0,2.0,28.0,15.0,,,2.0,1.0,7.2,0.0,GREECE,DODECANESE ISLANDS,36.5,28.7,,0.0,,,,,,,,,,
1968.0,8.0,10.0,2.0,7.0,4.3,4.0,1.0,7.6,0.0,INDONESIA,N. MOLUCCAS ISLANDS,1.4,126.2,0.4,22.0,-1.3,1.0,,,,,,1.0,,
1919.0,10.0,2.0,,,,4.0,7.0,,0.0,USA,"ALIKA, HAWAII",19.23,-155.9,4.3,3.0,,2.0,,,,,,1.0,,
1889.0,9.0,8.0,,,,-1.0,9.0,,0.0,USA,"ASBURY PARK, NJ",,,,0.0,,,,,,,,,,
1983.0,8.0,17.0,10.0,55.0,54.1,4.0,1.0,7.1,0.0,RUSSIA,"KAMCHATKA BAY, RUSSIA",55.867,161.287,0.1,1.0,-3.3,,,,,,,,,
1924.0,4.0,14.0,16.0,20.0,23.0,4.0,3.0,8.3,0.0,PHILIPPINES,E. MINDANAO ISLAND,6.5,126.5,,3.0,,0.5,,,,,,3.0,,
2014.0,5.0,24.0,9.0,25.0,5.0,4.0,1.0,6.9,0.0,GREECE,NORTH AEGEAN SEA,40.24,25.33,0.16,1.0,,,3.0,,,310.0,4500.0,4.0,,
1967.0,12.0,4.0,,,,0.0,9.0,,0.0,USA TERRITORY,NORTHERN COAST OF PUERTO RICO,,,,6.0,,,,,,,,2.0,80.0,
1897.0,2.0,19.0,20.0,50.0,,4.0,1.0,7.4,0.0,JAPAN,SANRIKU,38.1,141.9,1.0,2.0,,,,,,,,2.0,,
1898.0,7.0,23.0,2.0,17.0,,1.0,1.0,6.5,0.0,CHILE,CENTRAL CHILE,-36.83,-73.03,,1.0,,,6.0,,,,,2.0,,
1896.0,11.0,5.0,2.0,50.0,,3.0,1.0,,0.0,GREECE,IONIAN SEA,,,,0.0,,,,,,,,,,
1856.0,7.0,26.0,,,,1.0,6.0,,0.0,USA,"UNIMAK ISLAND, AK",54.6,-165.0,,1.0,,,,,,,,,,
1863.0,6.0,3.0,11.0,20.0,,2.0,1.0,6.5,0.0,PHILIPPINES,W. LUZON ISLAND,14.5,121.0,,1.0,1.0,1.0,400.0,,,2000.0,,4.0,1172.0,
1914.0,1.0,12.0,,,,2.0,1.0,,0.0,PERU,CENTRAL PERU,-12.0,-76.6,1.0,2.0,,1.5,,,,,,,,
1812.0,1.0,23.0,15.0,0.0,,0.0,1.0,8.4,0.0,USA,"NEW MADRID, MO",36.3,-89.6,,1.0,,,,,,,,,,
1938.0,1.0,28.0,,,,0.0,6.0,,0.0,CONGO,NYAMURAGIRA,-1.408,29.2,,1.0,,,,,,,,,,
1908.0,12.0,12.0,12.0,8.0,,1.0,2.0,,0.0,PERU,S. PERU,-14.0,-78.0,,0.0,,,,,,,,,,
2004.0,11.0,21.0,11.0,41.0,7.7,4.0,1.0,6.3,1.0,GUADELOUPE (FRENCH TERRITORY),"BASSE-TERRE, LES SAINTES",15.679,-61.706,2.0,9.0,,,1.0,,,12.0,,2.0,,
1901.0,8.0,9.0,9.0,23.0,30.0,4.0,1.0,7.2,0.0,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,3.0,0.0,-0.5,,,,,,2.0,,
1963.0,12.0,16.0,1.0,51.0,31.0,2.0,1.0,6.6,0.0,INDONESIA,JAVA,-6.4,105.4,,1.0,-0.5,0.0,,,,,,1.0,,
2010.0,10.0,25.0,14.0,42.0,22.0,4.0,1.0,7.8,0.0,INDONESIA,SUMATRA,-3.487,100.082,16.9,358.0,,,431.0,,,,39.0,4.0,700.0,
2000.0,11.0,4.0,19.0,30.0,0.0,1.0,8.0,,0.0,USA,"POINT ARGUELLO, S. CALIFORNIA",34.5,-120.65,4.6,1.0,,,,,,,,1.0,,
1966.0,7.0,12.0,18.0,53.0,,4.0,1.0,5.5,0.0,RUSSIA,BLACK SEA,44.75,37.0,0.2,0.0,,1.0,,,,,,,,
2011.0,7.0,30.0,5.0,30.0,,3.0,8.0,,0.0,NORWAY,"LYSEFJOREN, WESTERN NORWAY",59.05,6.64,1.5,1.0,,,,,,,,1.0,,
1980.0,5.0,18.0,,,,0.0,6.0,,0.0,USA,WASHINGTON,46.2,-122.18,250.0,2.0,,,61.0,,,,,,,
1872.0,6.0,13.0,,,,1.0,0.0,,0.0,USA,LAKE ONTARIO,43.5,-78.0,0.6,1.0,,,,,,,,,,
1882.0,,,,,,-1.0,,,0.0,CHINA,HUBEI PROVINCE,,,,0.0,,,,,,,,,,
1909.0,7.0,30.0,10.0,51.0,54.0,2.0,1.0,7.4,0.0,MEXICO,S. MEXICO,16.8,-99.8,9.0,1.0,3.2,,,,,,,,,
1861.0,5.0,4.0,,,,-1.0,11.0,,0.0,USA,N. CALIFORNIA,,,,1.0,,,,,,,,,,
1923.0,5.0,7.0,,,,-1.0,1.0,,0.0,CHILE,NORTHERN CHILE,,,,0.0,,,,,,,,,,
1936.0,8.0,23.0,21.0,12.0,13.0,2.0,1.0,7.3,0.0,INDONESIA,OFF NORTHWEST COAST,6.1,94.7,,0.0,,,9.0,,,20.0,,2.0,,
2013.0,2.0,6.0,1.0,12.0,25.8,4.0,1.0,7.9,0.0,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-10.766,165.114,11.0,124.0,,,10.0,,,15.0,36.0,4.0,588.0,478.0
2007.0,3.0,25.0,0.0,40.0,1.6,4.0,1.0,7.1,0.0,VANUATU,VANUATU ISLANDS,-20.617,169.357,0.08,2.0,,,,,,,,,,
1975.0,5.0,26.0,9.0,11.0,51.1,4.0,1.0,7.8,0.0,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE,35.962,-17.576,0.5,8.0,,,,,,,,1.0,,
2009.0,7.0,1.0,9.0,30.0,10.4,4.0,1.0,6.4,0.0,GREECE,CRETE,34.164,25.471,0.3,3.0,,,,,,,,,,
1895.0,3.0,6.0,8.0,35.0,,4.0,1.0,7.3,0.0,PAPUA NEW GUINEA,SOLOMON SEA,-8.4,150.1,6.0,6.0,2.6,2.0,,,,,,2.0,,
1992.0,5.0,17.0,10.0,15.0,31.3,4.0,1.0,7.3,1.0,PHILIPPINES,PHILIPPINES,7.191,126.762,6.0,3.0,,,,,,,,1.0,12.0,
1982.0,12.0,28.0,6.0,37.0,42.5,4.0,1.0,6.4,0.0,JAPAN,S. OF HONSHU ISLAND,33.826,139.434,0.19,1.0,-1.3,-1.0,,,,,,,,
1938.0,11.0,6.0,21.0,38.0,47.0,4.0,1.0,7.1,0.0,JAPAN,OFF FUKUSHIMA PREFECTURE,37.0,141.7,1.25,11.0,0.3,-0.5,,,,,,,,
2011.0,8.0,20.0,16.0,55.0,2.5,4.0,1.0,7.1,0.0,VANUATU,VANUATU ISLANDS,-18.365,168.143,0.19,4.0,,,,,,,,,,
1869.0,6.0,1.0,,,,3.0,0.0,,0.0,USA,N. CALIFORNIA,,,,1.0,,,,,,,,,,
1934.0,11.0,30.0,2.0,5.0,10.0,4.0,1.0,7.0,0.0,MEXICO,MEXICO,18.5,-105.5,0.11,1.0,,,,,,,,,,
1840.0,3.0,22.0,,,,1.0,1.0,6.5,0.0,PHILIPPINES,PHILIPPINE SEA,12.9,123.9,,1.0,1.0,1.0,52.0,,,200.0,,3.0,,
1940.0,10.0,11.0,18.0,41.0,13.0,1.0,1.0,7.0,0.0,CHILE,SOUTHERN CHILE,-41.5,-74.5,,0.0,,,,,,,,,,
1931.0,3.0,9.0,3.0,49.0,0.0,4.0,1.0,7.6,0.0,JAPAN,SANRIKU,41.2,142.5,0.4,7.0,-1.3,-1.0,,,,,,,,
1983.0,6.0,21.0,6.0,25.0,27.3,4.0,1.0,6.9,0.0,JAPAN,N. HONSHU ISLAND,41.346,139.099,1.0,27.0,,,,,,,,1.0,,
1854.0,1.0,15.0,,,,1.0,6.0,,0.0,NORTHWEST PACIFIC OCEAN,PHILIPPINE SEA,20.9,134.8,,0.0,,,,,,,,,,
1862.0,3.0,18.0,,,,2.0,1.0,,0.0,FRANCE,LIGURIAN SEA,,,,1.0,,,,,,,,,,
1946.0,8.0,4.0,17.0,51.0,5.0,4.0,1.0,7.9,0.0,DOMINICAN REPUBLIC,NORTHEASTERN COAST,19.25,-69.0,5.0,8.0,2.2,,1790.0,,,,,3.0,,
1820.0,5.0,4.0,,,,4.0,1.0,7.6,0.0,MEXICO,S. MEXICO,17.2,-99.6,4.0,1.0,1.0,1.5,,,,,,3.0,,
1852.0,12.0,24.0,,,,1.0,1.0,7.0,0.0,INDONESIA,BANDANEIRA,-5.0,130.5,,7.0,,2.0,,,,,,1.0,,
1858.0,1.0,31.0,,,,2.0,0.0,,0.0,AUSTRALIA,TASMAN SEA,,,,1.0,,,,,,,,,,
1917.0,1.0,25.0,,,,3.0,1.0,6.5,0.0,CHINA,SOUTH CHINA SEA,24.47,118.08,,2.0,1.0,1.0,,,,,,1.0,,
1906.0,5.0,7.0,,,,2.0,1.0,,0.0,CHILE,NORTHERN CHILE,-18.5,-70.3,,2.0,,,,,,,,,,
1920.0,12.0,16.0,12.0,5.0,53.0,0.0,1.0,7.8,0.0,CHINA,CHINA: GANSU AND SHANXI PROVINCES,36.7,104.9,0.75,4.0,,,,,,,,,,
1985.0,4.0,13.0,1.0,6.0,0.1,2.0,1.0,6.2,0.0,INDONESIA,BALI ISLAND,-9.245,114.185,2.0,1.0,,,,,,,,,,
1930.0,8.0,31.0,0.0,40.0,38.0,3.0,3.0,5.2,0.0,USA,S. CALIFORNIA,34.03,-118.643,3.05,3.0,-1.0,-0.5,1.0,,,,,1.0,,
1837.0,11.0,7.0,12.0,51.0,,4.0,1.0,8.5,1.0,CHILE,SOUTHERN CHILE,-42.5,-74.0,6.0,17.0,3.0,3.0,16.0,,,,,3.0,,
1956.0,3.0,30.0,6.0,11.0,,2.0,6.0,,1.0,RUSSIA,KAMCHATKA,55.978,160.587,0.3,13.0,-0.7,,,,,,,,,
1821.0,4.0,10.0,,,,1.0,0.0,,0.0,COSTA RICA,LA MATINA,10.1,-83.3,,1.0,,,,,,,,,,
1867.0,12.0,18.0,,,,4.0,1.0,7.0,1.0,TAIWAN,E. CHINA SEA,25.34,121.91,15.0,12.0,2.0,2.0,580.0,,,,,2.0,,
2018.0,10.0,25.0,22.0,55.0,3.0,4.0,1.0,6.8,0.0,GREECE,IONIAN SEA,37.52,20.557,0.5,9.0,,,,,,3.0,,2.0,,120.0
1959.0,8.0,18.0,6.0,37.0,13.5,0.0,3.0,7.5,0.0,USA,"HEGBEN LAKE, MONTANA",44.712,-111.215,1.0,1.0,,,28.0,,,,11.0,3.0,,
1845.0,,,,,,3.0,8.0,,0.0,USA,"SE. ALASKA, AK",,,,1.0,,3.0,100.0,,,,,,,
1841.0,,,,,,1.0,0.0,,0.0,PERU,PERU,,,,1.0,,,,,,,,,,
1977.0,8.0,28.0,20.0,10.0,5.0,2.0,1.0,5.5,0.0,PAPUA NEW GUINEA,ADMIRALTY ISLANDS,-1.081,146.23,0.6,1.0,-0.7,-0.5,,,,,,,,
1932.0,2.0,3.0,6.0,16.0,,2.0,1.0,6.7,0.0,CUBA,SANTIAGO DE CUBA,20.0,-75.8,,1.0,,,,,,,,,,
1938.0,11.0,9.0,2.0,22.0,,-1.0,1.0,6.5,0.0,JAPAN,SANRIKU,37.6,141.2,,0.0,,,,,,,,,,
1844.0,5.0,,,,,0.0,1.0,7.4,0.0,NICARAGUA,LAKE NICARAGUA,11.2,-84.8,,0.0,,,,,,,,2.0,,
1887.0,2.0,5.0,,,,-1.0,1.0,,0.0,USA,HAWAII,19.0,-155.0,,1.0,,,,,,,,,,
1819.0,8.0,31.0,,,,3.0,1.0,5.8,0.0,NORWAY,NORWAY:  RANA REGION: LUROY,66.416,12.85,,1.0,,,,,,,,1.0,,
1903.0,11.0,24.0,,,,4.0,9.0,,0.0,USA,HAWAII,,,,1.0,,,,,,,,,,
1869.0,9.0,9.0,,,,2.0,1.0,,0.0,GREECE,AEGEAN SEA,,,,0.0,,,,,,,,,,
1909.0,9.0,20.0,,,,-1.0,9.0,,0.0,USA,LOUISIANA: GRAND ISLE,,,,1.0,,,300.0,,,,,,,
1823.0,3.0,5.0,17.0,37.0,,2.0,1.0,,0.0,ITALY,PALERMO,38.3,14.8,,2.0,,5.0,,,,,,,,
1970.0,11.0,28.0,11.0,8.0,40.0,2.0,1.0,6.0,0.0,CHILE,NORTHERN CHILE,-20.94,-69.81,,0.0,,,,,,,,,,
1960.0,5.0,22.0,19.0,11.0,17.0,4.0,1.0,9.5,26.0,CHILE,SOUTHERN CHILE,-38.143,-73.407,25.0,1277.0,4.6,4.0,2226.0,,,3000.0,1000.0,4.0,58622.0,
1869.0,10.0,11.0,13.0,,,1.0,1.0,5.6,0.0,UKRAINE,BLACK SEA,44.75,35.0,,0.0,,3.0,,,,,,,,
1841.0,5.0,17.0,21.0,30.0,,4.0,1.0,8.4,1.0,RUSSIA,KAMCHATKA,52.0,158.0,15.0,7.0,3.9,3.0,,,,,,2.0,,
1983.0,8.0,18.0,9.0,,,4.0,8.0,,0.0,NORWAY,WESTERN NORWAY,61.233,7.717,7.0,1.0,,4.0,,,,,,1.0,,
1896.0,12.0,17.0,,,,-1.0,9.0,,0.0,USA,"SANTA BARBARA, CA",,,2.5,1.0,1.3,1.5,,,,,,,,
1871.0,8.0,25.0,,,,1.0,1.0,,0.0,INDONESIA,N. MOLUCCAS ISLANDS,0.5,123.0,,1.0,,0.0,,,,,,,,
1842.0,11.0,1.0,,,,2.0,1.0,,0.0,CANADA,ST. LAWRENCE,,,,0.0,,,,,,,,,,
